Date,Star
2021.11.14,3
2021.12.18,5
2022.02.18,5
2022.06.08,3
2023.04.17,5
2022.01.10,4
2022.05.01,3
2023.07.18,5
2022.03.26,5
2021.11.02,1
2021.11.14,5
2021.11.15,5
2022.03.16,5
2022.03.22,5
2022.05.31,5
2023.08.06,5
2021.11.07,5
2021.12.05,5
2021.12.09,5
2022.01.21,5
2022.04.22,5
2022.06.01,5
2022.09.30,5
2024.11.05,5
2021.11.05,5
2022.01.21,5
2021.12.13,5
2022.05.13,5
2022.09.11,5
2023.01.23,5
2023.02.04,5
2021.11.07,5
2021.12.09,5
2022.01.08,5
2022.02.28,5
2022.03.31,5
2022.05.24,5
2023.11.16,5
2021.11.10,5
2021.11.18,5
2023.03.17,5
2021.11.06,5
2022.01.27,5
2021.11.03,5
2021.11.02,5
2021.11.03,5
2022.01.09,5
2022.01.21,5
2022.03.17,5
2021.11.02,5
2021.11.07,5
2022.01.05,5
2022.02.27,5
2022.03.31,5
2022.12.13,3
2023.01.05,5
2023.09.25,5
2022.07.04,5
2023.04.21,5
2021.11.25,4
2022.03.25,5
2022.04.16,5
2022.08.03,5
2022.08.25,4
2023.09.11,5
2024.03.08,5
2024.03.23,5
2021.11.02,5
2021.11.16,5
2021.12.09,5
2022.03.03,5
2022.10.27,5
2023.07.03,5
2023.07.30,1
2021.11.09,5
2021.11.26,5
2022.01.26,5
2022.02.26,3
2022.11.21,5
2023.05.28,5
2023.09.18,5
2022.03.22,5
2023.08.22,5
2021.11.24,5
2022.02.19,1
2022.03.04,5
2023.05.31,5
2021.11.02,5
2021.11.07,5
2021.11.13,5
2022.03.02,5
2022.04.13,5
2022.05.17,5
2022.08.11,5
2022.11.07,5
2023.02.19,5
2021.11.03,5
2021.11.11,5
2021.12.23,5
2021.12.29,5
2022.02.21,5
2022.03.02,5
2022.08.10,5
2022.10.25,5
2022.12.28,3
2021.11.05,5
2021.11.08,5
2021.11.28,5
2022.03.08,5
2023.02.25,5
2021.12.16,5
2022.05.04,5
2022.08.01,5
2022.10.26,5
2023.07.30,5
2022.04.16,5
2022.11.11,5
2023.06.21,5
2024.02.19,5
2022.03.25,5
2022.05.04,5
2022.07.28,5
2023.01.30,5
2021.11.27,5
2021.11.29,5
2022.07.05,5
2021.11.02,5
2022.01.16,5
2022.07.25,5
2022.09.10,5
2023.01.25,5
2022.04.06,5
2021.11.03,5
2021.11.07,5
2021.12.22,5
2022.04.29,5
2022.11.21,5
2021.12.11,5
2021.12.13,5
2022.01.31,5
2022.03.25,5
2022.10.06,5
2023.01.30,5
2021.11.17,5
2021.11.28,5
2021.12.17,5
2022.01.07,5
2022.01.10,2
2022.02.19,5
2022.08.21,4
2023.08.16,5
2021.11.07,5
2021.12.16,4
2022.01.13,5
2022.01.17,5
2022.05.29,5
2021.11.30,5
2021.12.22,5
2022.02.07,5
2022.04.21,5
2022.06.20,5
2021.12.11,5
2021.12.23,5
2022.02.20,5
2022.12.28,5
2023.07.02,5
2023.10.21,5
2021.11.07,5
2022.02.08,5
2022.03.27,5
2022.06.03,5
2022.06.13,1
2022.07.09,5
2022.09.23,5
2023.01.17,5
2023.10.31,5
2022.01.28,5
2022.05.25,5
2021.11.02,5
2021.11.07,5
2022.01.14,5
2022.03.27,5
2022.09.12,5
2023.02.19,5
2023.07.30,5
2021.11.06,5
2022.03.03,5
2022.06.21,5
2023.01.31,5
2021.11.10,5
2021.11.15,5
2021.12.08,5
2022.04.13,4
2023.02.13,5
2023.04.02,5
2021.12.12,5
2022.02.20,5
2022.03.09,5
2021.12.09,4
2022.08.10,5
2023.08.19,5
2021.12.13,5
2022.06.07,5
2022.07.07,5
2022.10.20,5
2021.11.02,5
2021.11.03,5
2022.02.03,2
2022.03.20,5
2022.04.04,5
2022.06.12,5
2021.11.06,5
2021.11.07,5
2021.11.12,5
2021.12.16,5
2021.12.30,5
2022.02.01,5
2022.02.23,1
2022.04.06,5
2022.04.09,5
2022.04.24,5
2023.07.07,5
2021.12.08,5
2022.02.05,5
2022.11.06,4
2023.01.17,5
2023.02.25,5
2023.03.16,5
2023.07.28,5
2024.03.06,5
2021.11.02,5
2021.11.03,5
2021.11.03,5
2021.11.30,5
2021.12.18,5
2022.01.11,5
2022.04.22,5
2022.05.27,5
2024.02.23,5
2022.03.25,5
2021.11.02,5
2021.12.14,5
2021.12.21,5
2022.04.13,5
2022.05.15,5
2022.11.21,5
2023.08.15,5
2022.01.09,5
2022.03.05,5
2022.03.14,5
2022.03.14,5
2022.05.13,5
2022.05.20,5
2022.06.21,5
2024.06.08,2
2022.08.03,5
2023.05.06,5
2024.11.25,1
2021.12.11,5
2022.08.19,5
2021.11.29,5
2022.07.15,5
2021.11.03,5
2021.11.12,5
2022.06.28,5
2022.06.09,5
2022.04.20,5
2022.03.12,5
2022.02.03,5
2022.02.03,5
2022.02.03,5
2022.02.17,5
2022.02.10,5
2021.11.12,5
2021.11.24,5
2021.12.09,5
2021.12.16,5
2022.03.11,5
2022.08.31,5
2022.03.23,5
2022.02.12,4
2022.05.10,5
2022.01.21,5
2022.02.13,5
2022.04.21,5
2022.05.10,5
2022.04.09,4
2022.05.28,3
2022.04.28,1
2022.03.05,2
2022.09.07,5
2022.04.07,5
2022.12.31,5
2022.09.15,5
2022.08.10,5
2022.01.15,5
2025.01.22,5
2025.01.19,5
2025.01.19,5
2025.01.08,5
2025.01.06,5
2024.10.16,5
2025.01.04,5
2024.12.28,5
2024.12.26,5
2024.12.21,5
2024.12.17,5
2024.12.11,5
2024.12.11,5
2024.12.10,5
2024.12.09,5
2024.12.09,5
2024.11.30,5
2024.11.25,5
2024.11.22,5
2024.11.21,5
2024.04.26,4
2024.11.20,5
2024.11.20,5
2024.11.18,5
2024.11.17,5
